id              name
7984275         EhCache
15120631        Memcached
10037414        Microsoft AppFabric
10037413        Ncache
7984274         Terracota
696             Inter-Process Communication (IPC)
694             Multi-threaded
695             POSIX Threads
697             Matrix
698             Vector
7984276         Adobe Flash Access
7984277         Widevine
17153068        Accounting Knowledge
17153069        Audits and compliance
17153070        Bank reconciliations
17153071        Business valuations
17153072        Cash flow management
17153073        Expense analysis
17153074        Financial and strategic planning
17153075        Financial projections
17153076        Financial statements
17153077        Fixed asset accounting
17153078        GAAP
17153079        General ledger
17153080        Handling budget and financial
17153081        IFRS knowledge
17153082        Knowledge of e-billing and preferably
17153083        Mergers and acquisitions
17153084        P&L management
17153085        Portfolio management
17153086        Proficient with Visio or Autocad
17153087        Profit & Loss & NPV
17153088        Risk management
17153104        ABAP (Advanced Business Application Programming)
17153105        BC (Basis Components)
17153106        CO (Controlling)
17153107        EC (Enterprise Controlling)
17153108        FI (Financial Accounting)
17153109        HR (Human Resources)
17153110        IM (Investment Manegement)
17153111        IS (Industry Solutions)
17153112        LE (Logistics Execution)
17153113        LO (Logistics)
17153114        MM (Materials Management)
17153115        PM (Plant Maintainance)
17153116        PP (Production Planning)
17153117        PS (Project System)
17153118        QM (Quality Management)
17153119        SD (Sales & Distribution)
17153120        TR (Treasury)
17153121        WF (Workflow)
17153089        Tax knowledge
17153090        Tax planning
17153091        Trial balance
4857250         Backgrounds
4857251         Drawing
4857252         Traditional animation
4857249         UI Design
4857245         Box modeling
4857244         Highpoly
4857243         Lowpoly
699             Deterministic
4857190         FSM
700             Non-Deterministic
4857189         Pathfinding
701             IK
693             Posing & Blending
702             Rigging
703             Music Stitching
704             Speech
705             Engine Development
706             Schema
707             Engine Development Front End
708             Game Modes
4857258         Creative documentation
4857273         Hammer
4857268         History of video games
4857280         Microsoft Visio
4857272         QERadiant
4857260         Script writing
4857259         Technical documentation
4857267         UI Design
4857269         UnrealED
709             Cell Processor
710             AILive
711             Artificial Contender
712             HumanIK
4857218         Real time multiplayer games development
4857219         Turn based multiplayer games development
713             Client-Server Gaming
714             Data Management
715             Integrated Data Surfacing
716             Networking
717             Peer-Peer Gaming
718             Standard Web Data Surfacing
719             Wireless(Online)
720             Collision
721             Engine Development Physics
722             Ragdoll
723             Rigid Body
724             NDS
725             PS2
726             PS3
727             PSP
728             Wii
729             X360
730             XBOX
731             Asset Wrangling
732             Direct X
736             Geometry
733             HLSL
737             Lighting
734             OpenGL
738             Particle Systems
735             Pipeline
739             Scene
740             Shaders
4857230         Facebook Games/Applications
4857231         Hi5 Games/Applications
4857232         Orkut Games/Applications
4857211         APT
4857192         Flash/AS3
4857202         iOS/Cocos2D
4857201         iOS/Objective-C
4857200         iTorque 2D
4857195         Lingo
4857212         Scaleform
4857210         SDL
4857199         Torque 3D
4857193         Unity3D/C#
4857194         Unity3D/JS
4857209         Unreal Engine
4857196         XNA
741             Asset Editors
742             Debug Tools
743             Optimization Tools
2318632         Action
2318633         Adventure
2318634         Construction and management simulation
2318635         Life simulation
2318639         Music
2318640         Puzzle
2318636         Role-playing
2318641         Sports
2318637         Strategy
2318638         Vehicle simulation
2318644         Testing Nintendo DS
2318643         Testing PC
2318646         Testing PS2
2318647         Testing PS3
2318648         Testing PSP
2318642         Testing Wii
2318645         Testing XBox 360
17153054        Able to influence people
17153055        Achievement orientation
17              Adaptability
17153056        Autonomy
18              Calendar Management worldwide time difference
19              Coaching Skills
17153057        Common sense
532             Communication skills
17153058        Conflict resolution
20              Creativity
17153059        Customer service orientation
17153060        Detail orientation
533             Developing People
17153061        Empowerment
17153062        Flexibility
21              Group Coordination
534             Innovation
22              Instructor Skills
23              Interpersonal Communication
24              Interviewing
25              Leadership
535             Market knowledge
17153063        Negotiation
536             Organizational sensitivity
17153064        Outspokenness
537             Planning & Organization
26              Presentations to Clients
17153065        Pressure tolerance
17153066        Proactivity
538             Resolution
27              Sense of Urgency
539             Stress tolerance
540             Team working
541             Tenacity
28              Understanding client's needs
14223861        Arabic
14223863        Chinese
155             English
156             French
157             German
14223865        Hindi
158             Italian
14223864        Japanese
159             Portuguese
14223862        Russian
869754  Spanish
182             Agile
183             Aspect Oriented programming
509             Configuration Management Process
503             Construction Process
510             DAR Process
506             Deployment Process
502             Design Process
499             General Planning Process
184             Globant Process Framework
6917744         ITIL v2 Process
6917745         ITIL v3 Process
513             Measurements - Gathering and Analysis Process
514             Org Process Management Process
512             Organizational Training Process
185             Process Definition skills
507             Project Closing Process
500             Project Management Process
508             Quality Assurance Process
3939684         Rally
505             Requirements Management Process
186             Requirements writing
187             RUP
511             Supplier Management Process
501             System Analysis Process
504             Testing Process
188             Use Case writing
189             User Stories writing
17153093        Access
17153094        Excel
17153095        Excel modeling
17153096        InfoPath
17153097        Picture Manager
17153098        Power Point
17153099        Project
17153100        Publisher
17153101        Visio
17153102        Word
80              3D Studio
2307639         ActionScript 2.0
2307640         ActionScript 3.0
81              After Effects
9427101         Blender
82              Dreamweaver
83              Fireworks
84              Flash
85              Illustrator
86              IM tool
87              InDesign
88              Maya
89              Page Maker
90              Photoshop
91              Quark-Xpress
92              Sony Vegas
124             3D Modeling and Render
125             Activity Tracking Report
126             Audio Knowledge
127             Branding and Logo Design
128             Content newsletter management
129             Database Pulling & reporting
130             Direct Marketing
131             Editorial Design
132             Email blast
133             Information Architecture for the Web
134             Online event management
135             Online marketing: advertisements, banner, promotions
136             SEO
137             User Interface Knowledge
138             Video Knowledge
8123229         Amazon Dynamo
8123221         Amazon Elasticache
8123223         Amazon RDS MySQL
8123222         Amazon RDS Oracle
8123227         Attenda
8123226         Joyent
8123225         Rackspace
8123224         RightScale
2309430         Informix Administration
2309434         Informix Backup/Restore Strategies
2309431         Informix Configuration & Security
2309429         Informix Installation
2309432         Informix Monitoring
2309435         Informix Store Procedure/Queries programming
2309433         Informix Tuning
2309395         MS SQL Replication
2309397         MS-SQL Administration
2309403         MS-SQL Backup/Restore Strategies
2309399         MS-SQL Clustered installations
2309398         MS-SQL Configuration & Security
2309396         MS-SQL Installation
2309400         MS-SQL Log shipping
2309401         MS-SQL Monitoring
2309407         MS-SQL Store Procedure/Queries programming
2309402         MS-SQL Tuning
2309404         SQL Server 2000
2309405         SQL Server 2005
2309406         SQL Server 2008
2645376         SSIS Components
8123238         Aspersa
8123237         Maatkit
4434935         MySQL 5.0.x
8123230         MySQL 5.1
8123231         MySQL 5.5
2309423         MySQL Administration
2309427         MySQL Backup/Restore Strategies
2309424         MySQL Configuration & Security
2309422         MySQL Installation
2309425         MySQL Monitoring
2309428         MySQL Store Procedure/Queries programming
2309426         MySQL Tuning
8123235         Percona Benchworks
8123234         Percona LogJam
8123233         Percona Toolkit
8123232         Percona XtraBackup
8123236         Sql-Bench
2309393         Oracle 10g
2309394         Oracle 11g
2309392         Oracle 9i
2309384         Oracle Administration
2309388         Oracle Backup/Restore Strategies
2309385         Oracle Configuration & Security
2309390         Oracle Database replication
2309389         Oracle GRID/RAC
2309383         Oracle Installation
2309386         Oracle Monitoring
2309391         Oracle Store Procedure/Queries programming
2309387         Oracle Tuning
2309416         PostgreSQL Administration
2309420         PostgreSQL Backup/Restore Strategies
2309417         PostgreSQL Configuration & Security
2309415         PostgreSQL Installation
2309418         PostgreSQL Monitoring
2309421         PostgreSQL Store Procedure/Queries programming
2309419         PostgreSQL Tuning
2309409         Progress Administration
2309413         Progress Backup/Restore Strategies
2309410         Progress Configuration & Security
2309408         Progress Installation
2309411         Progress Monitoring
2309414         Progress Store Procedure/Queries programming
2309412         Progress Tuning
76              HP OpenView
2307631         MDX
77              Microsoft Operation Manager (MOM)
78              Quest Central
79              Quest Spotlight
2307632         SQL Server Business Intelligence Development Studio
2307633         SQL Server Configuration Manager
2307634         SQL Server Management Studio
2307635         SQL Server Surface Area Configuration
2307636         SQLite
2307637         Sybase
2307638         Transact-SQL
115             GRE
116             IDS
117             IPSEC
118             L2TP
119             NAT
120             PAT
121             PPTP
122             SSL
123             TLS
146             ATM
147             ETHERNET
148             Frame Relay
149             LOAD BALANCING
150             MPLS
151             RSTP/MSTP
152             VLAN
153             WIFI
154             xDSL
164             IPTABLES
165             NMAP
166             RADIUS
167             TCPDUMP
175             Apache James
